날짜    에스프레소  아메리카노  카페라테  카푸치노 믹스커피
10.15       10  	50         45       20      10
10.16       12		45         41       18      10
10.17       11		53         32       25      10
10.18       15		49         38       22      10
10.19       13  	52         43       19      12
10.20       14  	48         39       21      11
10.21       12  	47         37       18      10
10.22       16  	50         41       23      13
10.23       11  	53         35       20      10
10.24       15  	49         40       22      10
10.25       14  	46         38       19      12
10.26       13  	54         44       21      11
10.27       12  	50         36       20      10
10.28       15  	51         42       23      13
