날짜      	에스프레소   	아메리카노   	카페라테    	카푸치노    	믹스커피    	평균      	합계      
10.15   	10      	50      	45      	20      	10      	27.0    	135     
10.16   	12      	45      	41      	18      	10      	25.2    	126     
10.17   	11      	53      	32      	25      	10      	26.2    	131     
10.18   	15      	49      	38      	22      	10      	26.8    	134     
10.19   	13      	52      	43      	19      	12      	27.8    	139     
10.20   	14      	48      	39      	21      	11      	26.6    	133     
10.21   	12      	47      	37      	18      	10      	24.8    	124     
10.22   	16      	50      	41      	23      	13      	28.6    	143     
10.23   	11      	53      	35      	20      	10      	25.8    	129     
10.24   	15      	49      	40      	22      	10      	27.2    	136     
10.25   	14      	46      	38      	19      	12      	25.8    	129     
10.26   	13      	54      	44      	21      	11      	28.6    	143     
10.27   	12      	50      	36      	20      	10      	25.6    	128     
10.28   	15      	51      	42      	23      	13      	28.8    	144     
평균      	13.07   	49.79   	39.36   	20.79   	10.86   	26.77   	133.86  
합계      	183     	697     	551     	291     	152     	374.8   	1874    
